링크,제목,본문요약,날짜,신문사,카테고리
https://www.donga.com/news/Society/article/all/20230911/121124553/1,폐지 줍던 80대 노인 승용차에 치여…병원 치료 중 결국 사망,"폐지를 줍던 80대 노인이 승용차에 치여 병원에 이송됐으나 치료 중 결국 숨졌다. 11일 광주 북부경찰서에 따르면 지난 9일 오후 
8시쯤 광주 북구...",6 hours ago,동아일보,"사회,사건·범죄"
https://www.ytn.co.kr/_ln/0134_202309111011450949,[자막뉴스] 밀려나는 노인들...서울마저 '노시니어존' 전락,"평일 이른 아침인데도 매표소 앞에 줄이 길게 늘어서 있습니다.서울 종로구에 있는 이 영화관의 푯값은 단돈 2천 원.추억의 옛날 영화를 
상영하는...",10 hours ago,YTN,뉴스
https://www.newsfreezone.co.kr/news/articleView.html?idxno=512106,"합천군 초계면, 제27회 노인의 날 기념행사∙경로잔치",[경남=뉴스프리존]안옥원 기자= 합천군 초계면이 지난 9일 초계대공원 야외무대에서 '제27회 노인의 날 기념행사∙경로잔치'를 개최했다.,3 hours ago,뉴스프리존,"지역, 부산·울산·경남, 지역 > 부산·울산·경남"
https://www.newswire.co.kr/newsRead.php?no=974061,구로 전설에 관한 창작동화 ‘효녀 홍이와 여덟 노인 이야기’ 출간,서울--(뉴스와이어) 2023년 09월 11일 -- '구로(九老)' 전설에 관한 창작동화 '효녀 홍이와 여덟 노인 이야기'가 출간됐다.,5 hours ago,뉴스와이어,없음
http://www.monthlypeople.com/news/articleView.html?idxno=655737,"최기찬 서울시의원 대표발의, 노인의 건강한 성(性)인식 개선 사업 추진 근거 담은 개정조례안 본회의 통과!","[월간인물] 서울특별시의회 보건복지위원회 소속 최기찬 의원(더불어민주당, 금천2)이 대표발의한 '노인의 성(性)인식 개선사업'을 
추진하도록 하는'...",2 hours ago,월간인물,"일반, 의회, 일반 > 의회"
https://www.newspim.com/news/view/20230911000693,"성남시, 노인 일자리 사업 호응...6550명 참여","[성남=뉴스핌] 정종일 기자 = 경기 성남시가 노인일자리 사업 중 하나인 '마망베이커리&카페'를 4호점까지 늘려 운영하고 있다고 11일 
밝혔다.",7 hours ago,뉴스핌,108010
https://www.medisobizanews.com/news/articleView.html?idxno=110103,65세 이상 노인 삶의 질 핵심은 '일상활동의 독립적 수행',"65세 이상 노인의 삶의 질을 결정하는 핵심은 일상활동에서의 원활한 독립적 수행이라는 연구 결과가 나왔다. 건국대병원 정신건강의학과 
전홍준 교수...",9 hours ago,메디소비자뉴스,"메디컬, 메디컬"
https://www.ajunews.com/view/20230911101901402,"달작, 시니어 위한 통합서비스 앱 개발...노인 소외 해소 앞장","올해 통계청 자료에 따르면 우리나라 65세 이상 노인인구는 전체 인구의 18.4%로, 약 940만 명에달한다. 이 중 60세 이상 
어르신 90%,...",10 hours ago,아주경제,사회
https://news.kbs.co.kr/news/view.do?ncd=7770664,전북 고독사 해마다 늘어…“홀몸 노인 대책 필요”,전북에서도 홀로 지내다 사망하는 이들이 늘고 있습니다. 더불어민주당 김원이 의원이 공개한 자료를 보면...,1 hour ago,KBS 뉴스,없음
https://www.yna.co.kr/view/AKR20230911092900054,고흥 도양읍에 노인건강타운 준공,(고흥=연합뉴스) 장덕종 기자 = 전남 고흥군은 11일 도양 노인건강복지타운 준공식을 했다.,6 hours ago,연합뉴스,사회
https://www.nocutnews.co.kr/news/6009712,"18명 시신 속 울부짖는 노인…""지진피해 아직 빙산의 일각""","모로코의 이번 강진은 이 나라의 4번째 대도시인 마라케와 그 인근 지역을 강타했다. 진앙지로부터 72km 북동쪽에 위치한 마라케는 인구 
84만명이...",15 hours ago,노컷뉴스,국제
https://www.shinailbo.co.kr/news/articleView.html?idxno=1758063,"고흥군, '도양 노인건강복지타운' 준공식 개최… 여가·요양·치유 결합","전남 고흥군이 11일 500여 명이 참석한 가운데 도양 노인건강복지타운 준공식을 개최했다.준공식은 축하공연을 시작으로 커팅식, 준공 
기념목 식수,...",6 hours ago,신아일보,"로컬+, 광주·전북·전남·제주, 로컬+ > 광주·전북·전남·제주"
http://www.nbn-news.co.kr/news/articleView.html?idxno=62577,고흥 도양 노인건강복지타운 준공,"[고흥/남도방송] 전남 고흥군은 도양 노인건강복지타운을 준공했다고 11일 밝혔다.사업비 225억원이 투입돼 연면적 7834㎡, 
2개동(지하 1층~지상 4층)...",4 hours ago,남도방송,"뉴스, 행정, 뉴스 > 행정"
https://www.mk.co.kr/news/business/10826942,노인·화상환자 치유나선 뷰티 스타트업,"뷰티 스타트업이 ESG(환경·책임·투명경영) 경영에 나섰다. 닥터솔루션은 최근 '앤닥터 타트체리 세럼' 300개를 영등포노인종합복지관에 
기부했다.",4 hours ago,매일경제,business
https://www.womaneconomy.co.kr/news/articleView.html?idxno=218686,00년생과 40년생이 친구가 됐다···日에서 뜬 독거노인 매칭 스타트업,"2000년생 대학생이 1942년생 독거노인을 찾아가 말동무가 되어주고 스마트폰 사용법을 알려준다. 함께 외출을 하고 장을 보고 집에와서 
요리도 한다.",3 hours ago,여성경제신문,"#컨슈머, #컨슈머"
http://www.monthlypeople.com/news/articleView.html?idxno=655498,"홍천군, 노인일자리사업 문화 활동 추진","[월간인물] 홍천군 대한노인회는 9월 11일 오전 10시 서면 생활체육공원에서 '노인 일자리사업 문화 활동'을 개최했다. 노인회 소속 
노인일자리...",4 hours ago,월간인물,"일반, 지역, 일반 > 지역"
https://m.segye.com/view/20230911514901,추석열차표 100% 온라인 예매에… 노인들만 ‘발동동’,"노인들에 좌석 10% 배정 불구 ""독수리 타자로는 절대 안 돼"" 대다수는 예매 실패해 낙담 잔여석·입석 현장 예매로 발길 디지털격차 
고려한 정책 시급.",2 hours ago,세계일보,사회일반
https://www.rapportian.com/news/articleView.html?idxno=164982,"노인 삶의 질, '독립적 일상생활 수행'이 가장 중요한 요소","라포르시안 모바일 사이트, 기사 상세페이지, [라포르시안] 전홍준 건국대병원 정신건강의학과 교수 연구팀이 65세 이상 노인 삶의 질을 
결정하는...",9 hours ago,라포르시안,학술
https://www.iusm.co.kr/news/articleView.html?idxno=1023402,"북울산적십자봉사회·경우회, 북구노인복지관 어르신행복식당 짜장면 나눔","북울산적십자봉사회와 경우회는 11일 울산 북구노인복지관 어르신행복식당에서 어르신에게 짜장면 450인분을 대접했다. 이날 박천동 
북구청장도 배식...",5 hours ago,울산매일,"뉴스, 사람과 삶, 뉴스 > 사람과 삶 > 사람과 삶"
http://www.pressna.com/news/newsview.php?ncode=1065595514153001,"거동불편 독거노인 어르신 도시락 지원 민관협력사업 부산 동래구 온천3동, “움트리 나눔 도시락 지원 협약” 체결","부산 동래구 온천3동 행정복지센터는 지난 7일 “움트리 나눔 도시락 지원”을 위한 협약을 사직노인복지센터, (사)움트리나눔센터와 
체결했다고 밝혔다...",5 hours ago,프레스뉴스,경제
http://www.ibulgyo.com/news/articleView.html?idxno=406051,"방배노인종합복지관, 시니어 정원놀이사 양성과정 운영","방배노인종합복지관이 이달부터 한국노인인력개발원 지원을 받아 시니어 노후준비 지원사업을 운영하고 있다고 9월11일 밝혔다. 이날 복지관에 
따르면...",2 hours ago,불교신문,"수행·신행, 복지, 수행·신행 > 복지"
https://mdtoday.co.kr/news/view/1065593131885972,"65세 이상 노인, 독립적 일상생활 수행이 삶의 질↑","[메디컬투데이=이한희 기자] 노인의 삶의 질을 향상하는 요인으로 일상활동의 독립적 수행과 주관적 건강 상태의 만족감이 중요하다는 연구 
결과가...",4 hours ago,메디컬투데이,건강
https://www.medifonews.com/news/article.html?no=182115,"이필수 회장 “노인외래정액제, 반드시 개선 필요”","의협, 노인외래정액제도 개선 위한 공청회 '환영' “정치권과 정부, 의료단체 등 많은 관심 이어져야”. 이필수 회장. △ 이필수 회장.",5 days ago,메디포뉴스,없음
https://www.incheonilbo.com/news/articleView.html?idxno=1211147,"성남시, 시장형 노인일자리 사업 호응","성남시는 노인 일자리 사업 중 하나인 '마망베이커리&카페'가 참여 어르신들의 호응 속에 운영되고 있다고 11일 
밝혔다.'마망베이커리&카페'는 수정...",2 hours ago,인천일보,"경제, 경기, 경제 > 경기"
https://www.iusm.co.kr/news/articleView.html?idxno=1023393,"울산 농소농협 따사모봉사단, 재가노인복지센터 쌀 전달","울산 농소농협(조합장 정성락) 따사모봉사단(단장 김분희)가 울산 북구 소재 재가노인지원서비스센터에 쌀 50포를 기부했다.울산 
농소농협(조합장...",6 hours ago,울산매일,"뉴스, 경제, 뉴스 > 경제 > 경제일반"
https://www.dnews.co.kr/uhtml/view.jsp?idxno=202309111451308590304,"경기북부노인보호전문기관, 노인학대 예방 캠페인 실시","[대한경제=최종복 기자] 의정부 지역주민 대상으로 노인 학대 예방을 위한 다양한 캠페인 활동 펼쳐 경기도사회서비스원 
경기북부노인보호전문...",6 hours ago,대한경제,없음
https://m.khan.co.kr/article/202309072054005,"‘노인보호 전담’ 곽영수 관장에 동백장, ‘취약계층 치료’ 이병관 원장에 목련장",33년간 노인요양원을 운영하며 노인을 돌본 곽영수 관저종합사회복지관 관장(64·왼쪽 사진)이 국민...,4 days ago,경향신문,인물
https://m.health.chosun.com/svc/news_view.html?contid=2023090602635,노인 35% “약 삼키기 어렵다”… 약 쉽게 먹는 법은?,"인구 고령화로 약을 복용하는 노인이 계속 늘고 있지만, 노인의 약 35%가 알약 복용에 어려움을 느끼는 것으...",4 days ago,헬스조선,없음
https://www.asiatoday.co.kr/view.php?key=20230911010006277,"무안군 삼향읍, 하반기 노인일자리사업 참여자 교육 실시","전남 무안군 삼향읍은 11일 삼향읍 노인분회에서 2023년 하반기 노인일자리 참여자 교육을 실시했다. 이날 교육은 공익형 
노인일자리사업인 마을회관...",2 hours ago,아시아투데이,전국
http://www.kyeongin.com/main/view.php?key=20230911010001868,"SK청솔노인복지관, 인도네시아 방문단 대상 `복지사업` 소개","SK청솔노인복지관(관장·김규엽)은 11일 한국·인도네시아 수교 50주년을 맞아 한국을 방문한 인도네시아 방문단을 대상으로 한국의 
노인복지관과 복지...",6 hours ago,경인일보,없음
http://jnnews.co.kr/news/view.php?idx=356802,"고흥군, '도양 노인건강복지타운' 준공식 개최","[전남인터넷신문/강계주] 고흥군(군수 공영민)은 11일 도양읍 봉암리 현지에서 기관단체장과 주민등 500여 명이 참석한 가운데 
어르신들의 든든한...",6 hours ago,전남인터넷신문,없음
https://www.kgnews.co.kr/news/article.html?no=762643,"“노인들 화합하는 축제의 장 되길”…인천 동구, 한궁대회 성공적 마무리","경로당 회원‧선수 200여명 참여…각 경로당 선수 3명씩 출전 우승 송림2경로당, 준우승 송람6-1경로당. 지난 8일 인천 
동구주민행복센터에서 열린 한궁...",7 hours ago,경기신문,없음
https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002960230,제주에 100세 이상 노인이 3배나 많은 이유,"21년말 제주에 정착한 뒤 생긴 의문 중 하나는 '어째서 제주에는 장수하는 사람이 이렇게 많은가'였다. 제주 관련 옛 문헌들을 읽다 
보니 '인다...",1 day ago,오마이뉴스,사는이야기
https://www.getnews.co.kr/news/articleView.html?idxno=640963,대한노인회중앙회 주최 '제1회 전국노인파크골프대회' 12일 개막,"전국의 시니어 파크골프 마니아들을 위한 축제의 장이 펼쳐진다. 대한노인회중앙회(회장 김호일)가 처음으로 전국 규모로 개최하는 '제1회 
전국노인...",7 hours ago,글로벌경제신문,"사회·문화, 건강, 사회·문화 > 건강"
http://kor.theasian.asia/archives/345776,[안산 선부동 고려인마을④] 국내 거주 고려인도 '노인복지' 시급,"[아시아엔=임영상 한국외대 명예교수, 아시아발전재단 자문위원] 근래 영주(F-5) 비자를 가진 고려인동포가 늘어나고 있다. 그런데 
한국국적까지 취득...",19 hours ago,아시아엔 THE AsiaN,없음
https://www.upinews.kr/newsView/1065572231760408,"성남시, 노인 일자리 ‘마망베이커리&카페’ 1~4호점 호응 속 운영","바리스타·제빵사 등으로 일하는 어르신 103명…인생 2막 만족도↑. 경기 성남시는 노인 일자리 사업 중 하나인 '마망베이커리&카페'가 
참여 어르신들의...",11 hours ago,UPI뉴스,전국
http://www.newspeak.kr/news/articleView.html?idxno=544816,"인천 부평구노인복지관, 노인 인권보호‧학대예방 추진","[뉴스피크] 인천 부평구노인복지관(관장: 최민수)은 인천 서부 노인보호 전문기관(관장: 김택주)과 협업을 통해 복지관 어르신을 대상으로 
노인 인권...",3 hours ago,뉴스피크,"뉴스, 정치·행정, 뉴스 > 정치·행정"
https://www.inews365.com/news/article.html?no=780346,"청주시 상당구, 노인복지 사업 개선 '총력' - 충북과 나의 연결고리 충북일보",［충북일보］ 청주시 상당구 행정복지센터는 지역 내 노인복지 업무를 효율적으로 추진하기 위해 간담회를 열었다고 11일 밝혔다.,4 hours ago,충북일보,"사회, 사회 > 일반·사회"
https://www.dailycc.net/news/articleView.html?idxno=755353,"단양소방서, 노인요양원 소방안전교육 실시","[충청신문=단양] 정연환 기자 = 단양소방서(서장 채열식)는 관내 다사랑 노인요양원을 찾아 관계인들을 대상으로 소방안전교육을 실시했다고 
11일...",5 hours ago,충청신문,없음
http://www.kyongbuk.co.kr/news/articleView.html?idxno=2141984,[만났습니다] 경북도립 김천노인전문요양병원 정종현 이사장,"치매 환자 가족의 건강한 삶과 삶의 질을 향상하고 지역민을 위한 의료 및 보건 수준 향상, 공공성 강화 등을 통해 신뢰받는 
공립요양병원으로 한...",4 hours ago,경북일보,"경북대구, 경북, 경북대구 > 경북 > 김천"
http://www.ccnnews.co.kr/news/articleView.html?idxno=307534,'제1회 전국노인체육대회' 천안서 개막...6500여 명 참여,"[충청뉴스 박동혁 기자] 충남 천안시에서 '건강한 백세! 신나는 체전!'을 주제로 '제1회 전국노인체육대회'가 10일 개회식을 시작으로 
3일간의 열전에...",12 hours ago,충청뉴스,"충남소식, 충남소식"
http://www.joongang.tv/news/articleView.html?idxno=66284,"여주시, 아이부터 노인까지 '한눈에 쏙' 생애 보금자리 정책 길잡이 발간","여주시가 공약사업인 '아이 키우기 좋은 여주'를 비롯하여 아이부터 노인까지, 모든 세대를 위한 다양한 지원정책이 수록된 '여주시 생애 
보금자리...",2 hours ago,중앙신문,"지역종합, 동부권, 지역종합 > 동부권"
https://www.ajunews.com/view/20230911151101752,"묵호노인종합복지관, 2023년 후원자와 함께하는 청와대 탐방 실시","묵호노인종합복지관이 후원자에 대한 예우를 강화하고 격려하는 자리를 만들고자 11일 후원자 30명이 참여해'2023년 후원자와 함께하는 
청와대 탐방'...",5 hours ago,아주경제,강원
http://ujnews.co.kr/news/newsview.php?ncode=1065585996308132,"북울산적십자봉사회·경우회, 북구노인복지관 어르신행복식당 짜장면 나눔 행사",북울산적십자봉사회(회장 김홍수)와 경우회가 11일 울산 북구노인복지관 어르신행복식당에서 어르신들에게 짜장면 450인분을 대접했다.,5 hours ago,울산종합일보,뉴스
https://kizmom.hankyung.com/news/view.html?aid=202309119795o&cid=3006,돈? 스트레스? 노인 삶의 질에 '이것' 가장 중요,"shutterstock. 노인의 삶의 질을 결정하는 가장 중요한 요소는 돈, 스트레스, 교육 수준도 아닌 '일상 활동의 독립적 
수행'이라는 연구 결과가 나왔다...",3 hours ago,키즈맘,없음
http://www.hnews.kr/news/view.php?no=62258,65세 이상의 노인 '감기 증상' 시 독감인지 꼭 확인,"[현대건강신문] 한낮의 더위는 여전하나 아침과 저녁에는 선선한 바람이 부는 가을이 다가오고 있다. 일교차가 심한 환절기에는 체온 유지가 
어려워질...",3 days ago,현대건강신문,News
http://www.doctorstimes.com/news/articleView.html?idxno=224084,“노인이 건강해야 사회적 비용 통제 가능···통합돌봄 정책 투자 시급”,"의료를 포함한 노인 통합돌봄 체계를 통해 장기요양 등급에 진입하는 인구 수를 최대한 줄이는 것이 전세계적인 보건의료 과제로 떠오르고 
있다.",5 days ago,의사신문,"의료뉴스, 일반, 의료뉴스 > 일반 > 헤드라인"
http://www.kstnews.co.kr/news/articleView.html?idxno=27694,제1회 전국노인체육대회 천안서 개막,"충남 천안시에서 '건강한 백세! 신나는 체전!'을 주제로 '제1회 전국노인체육대회'가 지난 10일 개회식을 시작으로 3일간의 열전에 
돌입했다.",5 hours ago,한국생활체육뉴스,"스포츠, 생활체육, 스포츠 > 생활체육"
https://www.shinailbo.co.kr/news/articleView.html?idxno=1757930,"2030년 4명 중 1명 노인…은행권, 어르신 맞춤 공략","시중은행은 고령층 금융소비자를 대상으로 한 맞춤형 영업 활동에 공들이고 있다. 디지털 금융에 익숙하지 않은 고령층을 대상으로 교육을 
제공하고,...",9 hours ago,신아일보,"경제, 은행, 경제 > 은행"
https://www.ulsanpress.net/news/articleView.html?idxno=512163,울산 공공체육시설 노인 디지털소외 대책 촉구,"갈수록 빨라지는 디지털 사회에서 소외되고 있는 노인들이 공공체육시설의 온라인 운영으로 운동마저도 포기해야 하는 현실이라며 지자체 차원을 
대책...",45 mins ago,울산신문,"정치, 일반, 정치 > 일반"
http://www.joongboo.com/news/articleView.html?idxno=363610494,성남시 노인 일자리 '마망베이커리&카페' 1~4호점 호응 속 운영,"성남시가 추진하는 노인 일자리 사업 '마망베이커리&카페'가 참여 어르신들의 호응 속에 4호점까지 운영되고 있어 주목받고 
있다.'마망베이커리&카페'...",5 hours ago,중부일보,"경기, 성남시, 경기 > 성남시"
https://news.kbs.co.kr/news/view.do?ncd=7769285,블랙박스가 수백만 원?…'여성·노인' 회원제 판매 주의 [제보K],[앵커] 운전할 때 차에다 블랙박스 설치하는 분들 많습니다. 그런데 업체 권유로 수백만 원짜리 블랙박스 ...,2 days ago,KBS 뉴스,없음
https://www.inews365.com/news/article.html?no=780245,"단양소방서, 노인요양원 소방안전교육 실시","［충북일보］ 단양소방서가 최근 다사랑노인요양원을 찾아 관계인들을 대상으로 소방안전교육을 실시했다. 요양시설은 대부분 고령의 노인 
환자가...",7 hours ago,충북일보,"사회, 사회 > 일반·사회"
https://news.nate.com/view/20230911n22140?mid=n0100,"동해시 묵호노인종합복지관, '2023년 후원자와 함께하는 청와대 탐방' 실시","한눈에 보는 오늘 : 홈 - 뉴스 : 후원자 지지·격려 문화탐방 프로그램2023. 9. 11.(월), 청와대 사진|묵호노인종합복지관 
[스포츠서울ㅣ김기원 기자]...",5 hours ago,네이트 뉴스,없음
https://biz.heraldcorp.com/view.php?ud=20230911000027,성남시 노인 일자리 ‘마망베이커리&카페’ 1~4호점 호응 속 운영,"성남시는 노인 일자리 사업 중 하나인 '마망베이커리&카페'가 참여 어르신들의 호응 속에 운영돼 4호점까지 늘려 운영하고 있다고 11일 
밝혔다.",13 hours ago,헤럴드경제,사회일반
https://www.seoul.co.kr/news/newsView.php?id=20230904500096,폐지 줍는 노인 우산 씌워준 여성…뜻밖의 사실 전해졌다,"'우산 천사' 여성 추가 선행 공개 80대 노인 “현금까지 뽑아줬다” 자녀 둔 엄마…“교육계에 종사”, 쏟아지는 비를 맞으며 힘겹게 
수레를 끌고 가는...",1 week ago,서울신문,없음
http://www.newspeak.kr/news/articleView.html?idxno=544817,"인천 부평구노인복지관, '우정을 배달해孝, 사랑의 집배원 행사 진행","[뉴스피크] 인천 부평구노인복지관(관장 최민수)은 추석 명절 및 노인의 날 및 경로의 달을 맞아 노인 일자리 사업 참여자 850명을 
대상으로 오는 11...",3 hours ago,뉴스피크,"뉴스, 정치·행정, 뉴스 > 정치·행정"
https://go.seoul.co.kr/news/newsView.php?id=20230911500190,"금천시니어클럽, 3년 연속 노인 일자리사업 우수기관 선정","편의점, 카페 등 15개 사업 1050여명에 일자리 제공 서울 금천구의 노인일자리 전담기관인 금천시니어클럽이 보건복지부가 주관한 
2023년 노인일자리...",5 hours ago,서울Pn,없음
https://mobile.newsis.com/view.html?ar_id=NISX20230911_0002445466,길 건너던 폐지수집노인 치어 숨지게 한 40대 운전자 입건,"광주 도심 도로에서 폐지 수집 노인을 치어 숨지게 한 운전자가 형사 입건됐다. 광주 북부경찰서는 교통사고처리특례법 치사 혐의로 40대 
남성 운전자...",8 hours ago,뉴시스,사회
https://www.healthinnews.co.kr/news/articleView.html?idxno=40331,“손주 역할 하는 로봇” 노인 우울과 인지기능 개선에 '소셜 로봇' 효과,"인지 기능 저하 노인에게 AI가 탑재된 '소셜 로봇'을 사용하게 했더니 우울감과 인지기능이 개선되는 것이 확인됐다.강원대학교병원은 
조희숙...",6 days ago,헬스인뉴스,"건강 · 질병, 건강일반, 건강 · 질병 > 건강일반"
http://m.honam.co.kr/detail/q2jcbR/702546,8차선 도로서 무단횡단하던 노인 친 40대 운전자 입건,"뉴시스광주 도심의 한 도로에서 무단횡단을 하던 노인을 차로 치어 숨지게 한 40대 운전자가 경찰에 입건됐다.광주 북부경찰서는 11일 
교통사고처리.",5 hours ago,무등일보,없음
http://www.naeponews.co.kr/news/articleView.html?idxno=23508,제1회 전국노인체육대회 10~13일 천안서 개최,'건강한 백세! 신나는 체전!'을 주제로 천안시에서 열리는 제1회 전국노인체육대회가 10일 개회식을 시작으로 3일간의 열전에 돌입했다.,9 hours ago,내포뉴스,"문화·레포츠, 문화·레포츠"
http://www.tynewspaper.co.kr/news/articleView.html?idxno=26960,"봉평동새마을부녀회, 경로당 및 노인일자리 위문 행사","봉평동 새마을부녀회(회장 서미선)는 지난 4일 봉평동 소재 경로당 7개소와 노인일자리 어르신(55명)들을 직접 방문하여 수박과 
떡(100만원 상당)을...",10 hours ago,통영신문,"뉴스, 우리동네, 뉴스 > 우리동네"
https://www.jejunews.com/news/articleView.html?idxno=2205409,노인 일자리 사업으로 소득과 건강 두 마리 토끼를 잡다,"시장형 노인일자리 사업인 낭공작소에서 일자리사업 참가자들이 폐목재를 활용한 소품제작을 하고 있다. 서귀포시는 올해 노인 일자리 사업과 
사회...",4 days ago,제주일보,"지역, 서귀포시, 지역 > 서귀포시"
https://www.sedaily.com/NewsView/29UKD5DEIM,'우산 천사' 알고 보니 선행 더 있었다…노인이 밝힌 후문 - 서울경제,최근 빗길에 손수레를 밀고 가던 노인에게 자기 몸을 적셔가며 우산을 씌워줘 훈훈함을 전했던 여성이 알고 보니 현금까지 뽑아 ...,6 days ago,서울경제,사회
http://www.civilreporter.co.kr/news/articleView.html?idxno=254997,"정읍시, 독거노인․중증장애인 안전 위한 응급안전안심서비스 장비 확대 설치","정읍시가 독거노인·중증장애인 가정의 안전사고 예방을 위해 응급안전안심서비스 확대에 나섰다.정읍시는 안전 취약계층인 독거노인 가정과 
중증...",10 hours ago,한국시민기자협회,"보도자료, 보도자료"
http://www.jeollailbo.com/news/articleView.html?idxno=704761,"장수군노인장애인복지관, ‘제2회 무주 진안 장수 장애인 보치아 대회’ 개최","장수군노인장애인복지관(관장 정호영)에서는 8일 무주, 진안, 장수 지역의 장애인 30명이 참여한 가운데 장애인복지관 강당에서'제2회 
무주 진안 장수...",7 hours ago,전라일보,"지역, 무주, 지역 > 무주"
http://www.jjn.co.kr/news/articleView.html?idxno=948333,독거노인 가정 응급상황 24시간 실시간 대응,"정읍시가 안전 취약계층인 독거노인 가정과 중증장애인 가정을 대상으로 최신 정보통신기술(ICT)기술을 적용한 차세대 응급장비 교체·신규 
설치를...",3 hours ago,전북중앙신문,"지역, 정읍, 지역 > 정읍"
https://go.seoul.co.kr/news/newsView.php?id=20230911500082,"최기찬 서울시의원, 노인 성인식 개선 사업 추진 근거 담은 개정조례안 본회의 통과","노인 성(性) 문제, 이제는 건강하게 배우자” 지난 8일 제320회 임시회 본회의에서 최종 의결 노인에게 올바른 성 지식 정보 
제공·인식 교육 등건전한...",9 hours ago,서울Pn,없음
http://www.newspeak.kr/news/articleView.html?idxno=544644,"김덕현 연천군수, 연천군노인복지관 경로식당 배식봉사 진행","[뉴스피크] 김덕현 연천군수가 11일 연천군노인복지관을 찾아 어르신들을 위한 배식 봉사에 나서며 따뜻한 나눔의 시간을 가졌다.김덕현 
군수는 이날 경로당을 찾은...",7 hours ago,뉴스피크,"뉴스, 정치·행정, 뉴스 > 정치·행정"
https://www.k-health.com/news/articleView.html?idxno=67086,"초고령사회, 노인 통합돌봄관리 가이드라인 '한눈에'","인구고령화로 노인돌봄에서 통합관리의 중요성이 강조되고 있는 가운데 한국보건의료연구원(NECA)이 노인중심 통합관리의 정책적 근거를 
제공하기...",4 days ago,헬스경향,"뉴스, 정책, 뉴스 > 정책"
